,Total,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01
account_activated_event,"218,421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,897","8,978","10,645","9,315","8,990","8,751","9,121","9,170","8,841","9,618","10,449","9,599","15,207","14,538","13,682","12,419","13,160","13,028","13,688","15,325","14,969"
account_created_event,"219,728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,263","10,944","9,536","9,160","8,937","9,327","9,419","9,046","9,851","10,703","9,815","15,551","14,884","14,010","12,692","13,496","13,393","14,024","15,677","15,398"
account_deleted_event,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,14,7,15,4,10,22,20,23,15,18,25,23,18,19,34,11,28,22,15
add_lpa_already_added_event,"17,752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,890,878,826,"1,053",987,"1,539","1,520","1,712","1,436","1,642","1,502","1,649","1,793","1,872"
add_lpa_failure_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
add_lpa_found_event,"271,995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,620","17,611","19,092","17,877","27,755","27,215","25,605","23,614","24,878","24,236","26,177","28,315","28,913"
add_lpa_not_eligible_event,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,51,39,42,51,21,50,46,52,,53,49,59,72,40
add_lpa_not_found_event,"58,182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,230","3,335","3,496","3,773","4,363","4,077","6,184","5,379",200,"4,660","5,414","5,051","5,477","5,543","5,386"
add_lpa_success_event,"269,626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,499","17,456","18,999","17,717","27,445","26,918","25,360","23,423","24,684","24,055","25,960","28,110","28,663"
download_summary_event,"63,279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,"2,328","2,596","2,779","2,928","3,023","3,081","3,674","2,949","3,949","4,058","4,866","4,156","4,501","5,346","5,359","6,760","7,122"
lpa_removed_event,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,68,106,97,80,91,109,101,96,132,135
lpas_added,"477,957",0,0,0,0,7,17,3,21,9,60,282,596,"1,285","6,645","8,469","13,070","14,994","13,213","16,608","16,242","19,368","17,436","17,124","16,447","16,905","16,961","16,077","17,593","19,140","17,911","29,020","28,426","25,045","23,329","24,906","24,367","26,759","29,622","29,642"
older_lpa_already_added_event,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,38,25,21,33,54,56,60,69,71,68,50,80,70
older_lpa_cleanse_success_event,"6,051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,385","2,162",365,,,,241,"1,898","1,935"
older_lpa_does_not_match_event,"4,662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,174,196,209,189,202,173,256,281,243,512,687,468,438,208,0,49,367,423
older_lpa_force_activation_key_event,"7,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,222,450,889,465,295,272,507,498,534,503,566,486,550,764,699
older_lpa_found_event,"22,285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,629,797,810,767,"2,241","3,233","1,923","1,612","1,731","1,751","2,308","4,300","4,215"
older_lpa_has_activation_key_event,"10,625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,349,390,405,373,438,428,454,478,478,800,822,776,810,845,777,817,"1,128","1,004"
older_lpa_invalid_status_event,"1,642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,20,17,26,29,42,36,70,61,138,150,147,136,167,186,182,214,224
older_lpa_key_already_requested_event,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,28,100,132,136,80,94,65,106,177,
older_lpa_needs_cleansing_event,"4,702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,"1,716",256,,,,190,"1,569","1,547"
older_lpa_not_eligible_event,"2,644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,93,110,116,114,129,123,120,125,132,35,0,539,269,282,259,178,0,0
older_lpa_not_found_event,"5,008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,76,53,80,97,98,116,188,150,314,246,200,185,544,623,840,"1,137","1,065"
older_lpa_success_event,"19,094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,516,652,511,578,442,0,613,793,754,"1,239","1,486","1,649","1,594","1,697","1,731","2,083","2,686","2,628"
older_lpa_too_old_event,"2,347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,75,90,99,88,100,107,120,125,132,35,0,539,269,282,259,,,
oolpa_key_requested_for_attorney_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,696"
oolpa_key_requested_for_donor_event,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,28,1
oolpa_phone_number_not_provided_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
oolpa_phone_number_provided_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"1,724"
share_code_not_found_event,"33,759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,057","4,323","3,323","4,271","4,461","5,138",,,,"4,894","5,292","5,229"
unexpected_data_lpa_api_response_event,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,,,,,92,46
view_lpa_share_code_cancelled_event,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,8,13,4,6,14,11,,2,12
view_lpa_share_code_expired_event,"3,185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,282,191,291,225,321,282,392,354,320,401,469
view_lpa_share_code_not_found_event,"47,536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,057","4,323","3,323","4,271","4,461","5,138","4,089","5,624","4,549","4,898","4,803",
view_lpa_share_code_success_event,"126,938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,306","10,453","8,165","11,032","11,622","13,632","11,476","12,881","13,423","13,350","16,598","17,563"
viewer_codes_created,"190,524",0,0,0,0,6,15,3,19,17,50,345,632,783,"1,739","2,594","3,879","4,539","4,014","5,351","5,843","6,926","6,625","6,441","6,909","7,003","7,088","7,527","7,933","8,692","7,039","10,188","10,779","11,341","10,112","11,356","10,509","11,112","13,115","13,733"
viewer_codes_viewed,"105,209",0,0,0,0,7,4,0,62,45,115,353,671,858,"1,248","2,218","2,589","2,356","2,131","2,770","3,397","3,829","3,672","3,517","3,877","3,991","4,172","4,327","4,527","5,430","4,265","5,767","6,082","7,179","5,907","6,823","6,554","6,466",,
older_lpa_partial_match_too_recent_event,"2,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,402,618,853,750
older_lpa_partial_match_has_been_cleansed_event,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,51,50
unauthorised_login_attempt_failures,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forbidden_login_attempt_failures,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not_found_login_attempt_failures,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_key_exists_event,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_key_expired_event,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_key_not_exists_event,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actor_code_failure_rate_limit_event,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actor_login_failure_rate_limit_event,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identity_hash_change_event,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viewer_code_failure_rate_limit_event,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
